victor;vidar@gmail.cs;45783265;yes
sd;sd@ds.com;12312323;No
victor;prueba1@gmail.com;12456532;yes
victor;vida@gmail.com;12324352;No
sdf;d@d.c;12332132;No
sd;d@gm.com;12332143;No
sd;ds@df.com;12332123;No
v;vd@fm.com;12324565;No
s;s@s.com;12332132;No
victor;tupapa@gmail.supa;68563477;No
vic;vic@gm.com;12312312;No
vic;vd@gm.com;12312312;No
as;as@fm.com;12312323;No
vic;cid@fm.com;12312312;No
vic;vic@d.com;12332123;No
vic;vida@fd.com;12331223;No
sad;sd@ds.com;12312332;No
asdas;as@as.com;12312323;No
asd;a@as.com;12312323;No
v;v@sd.com;12312332;No
sdf;sdf@df.com;12312332;No
vic;vic@fm.com;12332123;No
sdf;dfd@df.com;12312332;No
sdf;bw.@gf.com;12312332;No
sd;sd@sd.com;12332232;No
asd;asd@ds.com;12312332;No
